begin_age	end_age	events
0.2501	0.4501	['al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP']
0.2751	0.4751	['TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP']
0.3001	0.5001	['Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP']
0.3251	0.5251	['TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor']
0.3501	0.5501	['Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP']
0.3751	0.5751	['Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen', 'TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP']
0.4001	0.6001	['TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic']
0.4251	0.6251	['TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron']
0.4501	0.6501	['Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP']
0.4751	0.6751	['New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)']
0.5001	0.7001	['Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho']
0.5251	0.7251	['TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)']
0.5501	0.7501	['Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi']
0.5751	0.7751	['Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic', 'Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest']
0.6001	0.8001	['Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca']
0.6251	0.8251	['TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca']
0.6501	0.8501	['Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet']
0.6751	0.8751	['Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest']
0.7001	0.9001	['Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))']
0.7251	0.9251	['Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate']
0.7501	0.9501	['Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan']
0.7751	0.9751	['Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca', 'Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan']
0.8001	1.0001	['Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan', 'TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean']
0.8251	1.0251	['Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan', 'TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean']
