"ngrip_age"	"ngrip_oxy18"
4.54	-34.83
4.56	-34.21
4.58	-34.57
4.6	-34.51
4.62	-35.05
4.64	-34.69
4.66	-35.21
4.68	-35.02
4.7	-34.71
4.72	-34.79
4.74	-35.09
4.76	-34.54
4.78	-34.82
4.8	-34.66
4.82	-34.93
4.84	-34.42
4.86	-34.89
4.88	-34.79
4.9	-34.65
4.92	-34.55
4.94	-34.57
4.96	-34.08
4.98	-34.92
5	-34.79
5.02	-34.53
5.04	-34.8
5.06	-34.63
5.08	-34.84
5.1	-34.64
5.12	-35.11
5.14	-34.73
5.16	-35.05
5.18	-33.85
5.2	-34.63
5.22	-34.9
5.24	-34.74
5.26	-34.56
5.28	-35.27
5.3	-35.03
5.32	-34.77
5.34	-35.39
5.36	-34.96
5.38	-34.78
5.4	-35.1
5.42	-34.35
5.44	-34.81
5.46	-34.91
5.48	-34.47
5.5	-34.53
5.52	-34.7
5.54	-34.36
5.56	-34.22
5.58	-35.06
5.6	-34.78
5.62	-35.19
5.64	-33.88
5.66	-35.2
5.68	-35.18
5.7	-34.51
5.72	-35.25
5.74	-34.69
5.76	-34.71
5.78	-34.55
5.8	-34.5
5.82	-34.71
5.84	-35.02
5.86	-34.71
5.88	-33.95
5.9	-34.2
5.92	-34.61
5.94	-34.91
5.96	-34.73
5.98	-34.85
6	-35.03
6.02	-34.77
6.04	-34.78
6.06	-35.49
6.08	-34.27
6.1	-35.17
6.12	-34.71
6.14	-34.39
6.16	-34.42
6.18	-34.89
6.2	-34.89
6.22	-34.58
6.24	-34.6
6.26	-35.13
6.28	-34.38
6.3	-35.2
6.32	-34.55
6.34	-34.6
6.36	-34.86
6.38	-34.99
6.4	-34.23
6.42	-34.62
6.44	-34.07
6.46	-34.97
6.48	-34.32
6.5	-34.5
6.52	-34.53
6.54	-35.01
6.56	-34.97
6.58	-34.98
6.6	-34.45
6.62	-34.37
6.64	-34.61
6.66	-34.57
6.68	-34.74
6.7	-34.37
6.72	-34.49
6.74	-34.52
6.76	-34.58
6.78	-35.12
6.8	-34.69
6.82	-34.32
6.84	-34.36
6.86	-34.72
6.88	-34.56
6.9	-34.97
6.92	-34.32
6.94	-34.26
6.96	-35.11
6.98	-34.73
7	-34.47
7.02	-34.82
7.04	-34.9
7.06	-34.77
7.08	-34.4
7.1	-34.95
7.12	-34.97
7.14	-34.36
7.16	-35.28
7.18	-34.74
7.2	-34.68
7.22	-34.93
7.24	-34.87
7.26	-34.12
7.28	-34.84
7.3	-34.99
7.32	-34.73
7.34	-34.64
7.36	-34.74
7.38	-34.31
7.4	-34.55
7.42	-34.62
7.44	-34.5
7.46	-34.44
7.48	-33.88
7.5	-34.77
7.52	-34.78
7.54	-35.04
7.56	-34.34
7.58	-34.52
7.6	-34.08
7.62	-34.01
7.64	-34.88
7.66	-33.9
7.68	-34.01
7.7	-34.65
7.72	-34.26
7.74	-34.09
7.76	-34.75
7.78	-34.35
7.8	-34.13
7.82	-33.76
7.84	-34.35
7.86	-34.4
7.88	-34.62
7.9	-34.98
7.92	-34.51
7.94	-34.78
7.96	-34.83
7.98	-33.6
8	-34.04
8.02	-34.4
8.04	-34.43
8.06	-35.05
8.08	-34.51
8.1	-34.5
8.12	-33.96
8.14	-35.44
8.16	-35.68
8.18	-35.54
8.2	-36.06
8.22	-35.88
8.24	-36.03
8.26	-35.21
8.28	-35.68
8.32	-34.7
8.34	-34.87
8.36	-34.95
8.38	-34.41
8.4	-35.36
8.42	-34.79
8.44	-34.46
8.46	-35.07
8.48	-34.7
8.5	-34.43
8.52	-34.83
8.54	-34.99
8.56	-34.59
8.58	-34.35
8.6	-34.83
8.62	-34.18
8.64	-35.02
8.66	-35.46
8.68	-35.21
8.7	-34.01
8.72	-34.92
8.74	-34.49
8.76	-35.34
8.78	-34.21
8.8	-35.57
8.82	-35.22
8.84	-34.08
8.86	-35.15
8.88	-34.57
8.9	-34.17
8.92	-34.3
8.94	-34.71
8.96	-34.57
8.98	-34.47
9	-34.68
9.02	-35.57
9.04	-35.18
9.06	-34.92
9.08	-34.73
9.1	-34.61
9.12	-34.98
9.14	-34.47
9.16	-34.34
9.18	-34.7
9.2	-34.83
9.22	-34.92
9.24	-35.62
9.26	-35.66
9.28	-36.05
9.3	-35.19
9.32	-35.04
9.34	-34.91
9.36	-34.56
9.38	-34.87
9.4	-34.8
9.42	-34.83
9.44	-35.12
9.46	-35.12
9.48	-34.92
9.5	-34.66
9.52	-35.01
9.54	-34.56
9.56	-34.98
9.58	-35.13
9.6	-34.95
9.62	-34.77
9.64	-34.96
9.66	-34.85
9.68	-34.84
9.7	-34.62
9.72	-34.68
9.74	-34.87
9.76	-34.66
9.78	-34.49
9.8	-35.12
9.82	-35.37
9.84	-35.22
9.86	-34.54
9.88	-35.06
9.9	-35.26
9.92	-34.85
9.94	-35.46
9.96	-34.65
9.98	-35.1
10	-34.94
10.02	-35.11
10.04	-35.79
10.06	-35.21
10.08	-35.32
10.1	-35.29
10.12	-35.45
10.14	-34.99
10.16	-35.02
10.18	-34.89
10.2	-35.93
10.22	-35.54
10.24	-36.33
10.26	-36.39
10.28	-36.01
10.3	-36.01
10.32	-35.2
10.34	-36.12
10.36	-36.19
10.38	-36.36
10.4	-35.96
10.42	-36.12
10.44	-36.04
10.46	-35.53
10.48	-36.34
10.5	-35.47
10.52	-35.73
10.54	-35.86
10.56	-36
10.58	-35.88
10.6	-36.11
10.62	-36.13
10.64	-36.16
10.66	-35.49
10.68	-35.77
10.7	-36.05
10.72	-36.45
10.74	-35.88
10.76	-36.21
10.78	-36.84
10.8	-35.83
10.82	-36.59
10.84	-36.09
10.86	-37.23
10.88	-37.6
10.9	-37.25
10.92	-37.15
10.94	-36.99
10.96	-38.02
10.98	-36.53
11.02	-36.44
11.04	-36.65
11.06	-36.89
11.08	-37.1
11.1	-36.71
11.12	-36.43
11.14	-37.14
11.16	-36.62
11.18	-37.24
11.2	-37.39
11.22	-37.6
11.24	-36.58
11.26	-36.15
11.28	-36.59
11.3	-37.54
11.32	-36.67
11.34	-36.91
11.36	-37.45
11.38	-37.63
11.4	-37.12
11.42	-38.47
11.44	-38.25
11.46	-38.72
11.48	-37.42
11.5	-37.84
11.52	-36.9
11.54	-36.59
11.56	-36.88
11.58	-36.78
11.6	-36.41
11.62	-36.57
11.64	-36.69
11.66	-38.5
11.68	-39.03
11.7	-39.6
11.72	-39.71
11.74	-40.86
11.76	-40.55
11.78	-39.86
11.8	-40.46
11.82	-40.96
11.84	-39.17
11.86	-38.93
11.88	-41.52
11.9	-39.73
11.92	-41.93
11.94	-40.33
11.96	-41.54
11.98	-40.53
12	-39.6
